,geneSymbol,pax6_baseMean,pax6_log2FoldChange,pax6_pvalue,pax6_padj,pax6_threshold,tbr2_baseMean,tbr2_log2FoldChange,tbr2_pvalue,tbr2_padj,tbr2_threshold,neg_baseMean,neg_log2FoldChange,neg_pvalue,neg_padj,neg_threshold
ENSMUSG00000052482,Gm8174,6.316681833,0.099984589,0.590301618,NA,NA,2.312772035,0.095893409,0.497816874,NA,NA,4.501958032,-0.006332334,0.952779494,NA,NA
ENSMUSG00000052485,Tmem171,0.92561289,-0.102037538,0.249373073,NA,NA,0.930328138,0.088596983,0.298356479,NA,NA,0.725331881,0.031169393,0.400247015,NA,NA
ENSMUSG00000052488,Cherp,1210.804909,-0.212075479,0.126692664,0.624105581,FALSE,882.8284224,-0.048854625,0.699159048,0.960367306,FALSE,994.9927995,-0.102359692,0.374698126,0.966032646,FALSE
ENSMUSG00000052496,Pkdrej,7.142667212,0.01616767,0.925711398,NA,NA,3.186004594,0.051084436,0.72365154,NA,NA,2.849105462,-0.055377299,0.480483923,NA,NA
ENSMUSG00000052504,Epha3,229.8672744,1.379158324,5.20E-18,1.65E-15,TRUE,3826.216225,0.111311668,0.210254985,0.770977679,FALSE,2354.429349,-0.000599041,0.995146699,0.998790256,FALSE
ENSMUSG00000052508,Olfr536,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052512,Nav2,770.824818,-0.765019489,0.000172019,0.005953801,TRUE,1479.120084,-0.028038621,0.892938114,0.988150103,FALSE,9148.858737,-0.061310983,0.583620327,0.987476362,FALSE
ENSMUSG00000052516,Robo2,210.3077579,-0.248226233,0.124137218,0.620307416,FALSE,4790.927899,-0.650382118,3.86E-11,1.57E-08,TRUE,6528.57725,-0.354503826,0.00551363,0.363983384,FALSE
ENSMUSG00000052520,Cyp2j5,0,NA,NA,NA,NA,0.1125008,0.026080316,0.510560083,NA,NA,0.279949704,-0.001010826,0.968947978,NA,NA
ENSMUSG00000052525,Spdya,29.82381287,0.013414635,0.948724991,0.994520813,FALSE,6.563293161,0.152982082,0.425856176,0.896189794,FALSE,8.985268479,0.080703611,0.490955685,NA,NA
ENSMUSG00000052533,Nup188,1287.293271,-0.042797679,0.702321426,0.959076742,FALSE,654.7157935,-0.055479816,0.611214967,0.946054496,FALSE,735.1986945,0.088722209,0.369869825,0.966032646,FALSE
ENSMUSG00000052534,Pbx1,11973.73207,0.126232078,0.12784099,0.626592449,FALSE,7603.341363,0.035846018,0.722211064,0.96512342,FALSE,12552.86342,0.102169116,0.150913202,0.924577387,FALSE
ENSMUSG00000052537,Olfr198,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052539,Magi3,867.5925605,0.548603752,1.04E-05,0.000513779,TRUE,278.0619293,0.311896534,0.012015556,0.215122312,FALSE,873.5546313,0.173558411,0.207091986,0.94778236,FALSE
ENSMUSG00000052544,St6galnac3,59.58310255,0.306756494,0.098724526,0.564151756,FALSE,20.82889571,-0.074935959,0.717018996,0.96473461,FALSE,72.55218304,-0.066118697,0.640797086,0.989160178,FALSE
ENSMUSG00000052549,Arl13a,11.58277647,0.465640497,0.016383512,0.213467958,FALSE,0.613772377,-0.023447479,0.763210923,NA,NA,1.032239659,-0.041319269,0.336322763,NA,NA
ENSMUSG00000052551,Adarb2,21.0044473,0.036477192,0.859228122,0.984548373,FALSE,4.177188208,-0.125231557,0.451343315,NA,NA,126.9037974,0.277699063,0.061012278,0.807329501,FALSE
ENSMUSG00000052554,Defb34,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052557,Gan,255.8089427,-0.012442983,0.922859483,0.993866859,FALSE,193.7211436,0.090671631,0.504494742,0.924363871,FALSE,270.866378,0.05312845,0.654578251,0.989160178,FALSE
ENSMUSG00000052558,Gm9884,39.27274249,0.417906869,0.039035887,0.356794846,FALSE,10.95759791,0.084154524,0.662987356,0.956617511,FALSE,22.20365617,0.251369879,0.076928833,0.850748282,FALSE
ENSMUSG00000052560,Cpne8,7.73364019,-0.313377184,0.101319892,NA,NA,4.270497669,0.141433428,0.400975804,NA,NA,1.972642921,-0.028736197,0.68761825,NA,NA
ENSMUSG00000052562,Slc22a30,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0.250620871,0.017408042,0.445212833,NA,NA
ENSMUSG00000052563,D930048N14Rik,22.38867465,-0.18457983,0.370711042,0.864535142,FALSE,1.019815607,-0.077103893,0.401531636,NA,NA,3.721416356,-0.019073269,0.815957057,NA,NA
ENSMUSG00000052565,Hist1h1d,315.3623089,-0.053720399,0.729019589,0.962075182,FALSE,126.0544619,-0.141476594,0.364757731,0.872986388,FALSE,91.89178982,-0.003101522,0.982861702,0.998587315,FALSE
ENSMUSG00000052566,Hook2,88.01394549,-0.082167053,0.639257372,0.949656727,FALSE,100.7857188,0.022975517,0.879604766,0.986086782,FALSE,159.6931328,-0.038481162,0.775933654,0.996231565,FALSE
ENSMUSG00000052572,Dlg2,30.02871989,-0.526013739,0.011655648,0.168723886,FALSE,140.0312555,0.312165961,0.103354686,0.612100716,FALSE,1007.946202,0.055475208,0.667016586,0.989160178,FALSE
ENSMUSG00000052581,Lrrtm4,10.296324,0.245847403,0.209168737,0.73528726,FALSE,150.4167916,0.119204403,0.539100098,0.930783243,FALSE,352.2586616,-0.056295266,0.67469365,0.991364295,FALSE
ENSMUSG00000052584,Serp2,29.21115343,-0.333890013,0.105796179,0.582062398,FALSE,62.09958335,-0.143719431,0.42733498,0.896189794,FALSE,120.851215,-0.211032406,0.139317893,0.916922264,FALSE
ENSMUSG00000052593,Adam17,668.4502599,-0.045354446,0.663115631,0.954797605,FALSE,294.6147938,-0.172094529,0.167907976,0.72161661,FALSE,259.7585138,-0.048730655,0.652189444,0.989160178,FALSE
